fid,x,y,brand
1.39E+11,-12.35690022,11.87277794,Nonni's Biscotti
1.25E+11,21.11099243,10.47060585,Bridgestone Golf
1.14E+14,70.71004486,10.60812855,Pyrex Home
1.26E+11,4.618666172,24.98289299,Callaway Golf
1.20E+11,20.02204514,10.02868843,TaylorMade Golf
2.19E+14,-32.36591339,24.50263977,Bays English Muffins
4.46E+14,7.5505023,5.337217331,PINCHme
1.77E+14,7.118411064,3.915912151,Very Jane
1.76E+11,14.19108009,14.9816227,LUSH Cosmetics
1.11E+14,15.25996113,14.44250679,BH Cosmetics
2.06E+14,7.998523235,4.343123436,Pick Your Plum
26883977238,52.35083389,-37.16140366,RetailMeNot
8.72E+14,7.211465836,4.02606535,BeneFIT Medical Apparel (Verified Page)
7.75E+14,15.00466919,14.83846092,ColourPop
7884763294,35.58068848,5.666526794,Jo-Ann Fabric and Craft Stores
96158177552,7.159918785,3.795619726,Backdrop Outlet
3.56E+14,35.39896774,4.934617519,Creativebug
1.07E+11,15.40733147,0.695837438,Traeger Grills (Verified Page)
1.41E+11,6.514490604,3.300026655,Blendtec
2.35E+14,24.25207329,-6.3202672,GoldieBlox
2.31E+14,2.026839972,-30.36611366,Scenic US
66335164272,3.549409866,-32.32370377,Zegrahm Expeditions
3.08E+14,1.62356782,-30.55165482,TCS World Travel
5.11E+14,-0.438161343,30.83114243,EVA Airways
2.18E+14,-10.32252026,-24.67242813,Staybridge Suites
78430106147,-7.514751434,-50.00948334,Rosewood Hotels & Resorts
1.47E+14,11.93703365,-30.57830048,Kammok
1.55E+11,10.53356361,-35.6760788,Axon US
2.98E+11,13.93829727,-28.57015038,Liv Cycling USA
2.74E+14,0.506751359,-32.67980957,MSC True Partnerships
1.52E+14,-8.610614777,55.40363693,HotelTonight
80018237219,-2.98004508,30.04352379,Red Lobster (Darden)
18618646804,-1.352072239,28.36301041,Olive Garden (Darden)
1.52E+14,-14.18414497,-55.28869629,"The Ritz-Carlton, Amelia Island"
89582998504,-33.25450134,-24.36192131,Hawaiian Airlines
89062077445,-1.207349777,-30.66049576,Costa Cruises
3.40E+14,13.83300591,-29.21671486,WD-40 BIKE
25306165681,-0.310048103,-29.01053619,iCruise.com
2.46E+11,1.027130842,-32.10584259,TAUCK
65189676254,1.84274745,-31.46924591,Lindblad Expeditions
1.02E+14,-8.042614937,52.70017242,MetroPCS
1.13E+14,3.692953825,-25.73714256,Alp-n-Rock
1.11E+14,-50.5194397,-13.22877312,Cruiseline.com
1.04E+11,-0.106891118,-28.33231163,Bluegreen Vacations
3.41E+14,12.79810143,-30.25540352,Tenkara Rod Co.
51530158577,-9.512465477,-23.57747841,Kimpton Hotels & Restaurants
